사업장명,소재지전체주소,도로명전체주소,도로명우편번호,자연환경,숙소환경,테마,지역코드,좌표정보(x),좌표정보(y),COL1,COL2,COL3
흑석산 자연휴양림,전라남도 해남군 계곡면 가학리 산 1,전라남도 해남군 계곡면 산골길 306,59017,강,글램핑,연인,11,164297.9679,130591.5773,,,
노르딕 민박,충청북도 충주시 중앙탑면 탑평리 518-12,충청북도 충주시 중앙탑면 반천안길 55,27447,바다,이지캠핑,키즈,8,276096.0707,393267.2241,,,
주천강자연휴양림,강원도 횡성군 둔내면 영랑리 119번지,강원도 횡성군 둔내면 강변로영랑6길 115,25267,호수,카라반,반려동물,4,306279.3335,440385.6667,,,
포시즌파크,강원도 횡성군 강림면 월현리 1704-4번지,강원도 횡성군 강림면 주천강로월현3길 157-78,25272,산,캠핑,가족,4,302230.1396,426701.5035,,,
횡성군 병지방 오토캠핑장,강원도 횡성군 갑천면 병지방리 540-4번지,강원도 횡성군 갑천면 어답산로 516,25251,강,글램핑,연인,4,293335.4997,455137.7644,,,
둔내캠프,강원도 횡성군 둔내면 삽교리 1544-6번지,강원도 횡성군 둔내면 용현로 429,25261,바다,이지캠핑,키즈,4,310851.7377,448873.1434,,,
솔밭체육공원 오토캠핑장,강원도 횡성군 공근면 도곡리 106-2번지,강원도 횡성군 공근면 도곡로14번길 59-1,25208,호수,카라반,반려동물,4,284312.2924,451466.9413,,,
고라데이마을,강원도 횡성군 청일면 봉명리 61-2번지,강원도 횡성군 청일면 봉명로 375-1,25253,산,캠핑,가족,4,300503.7459,461333.8021,,,
힐링스토리,강원도 횡성군 서원면 금대리 산 127-3,강원도 횡성군 서원면 금대1길 24-68,25200,강,글램핑,연인,4,280001,446146,,,
신대리야영장,강원도 횡성군 청일면 신대리 320번지,강원도 횡성군 청일면 청일로737번길 10,25255,바다,이지캠핑,키즈,4,307542.9871,455034.6499,,,
클럽프리모,강원도 횡성군 서원면 석화리 851,강원도 횡성군 서원면 양서북로 1010,25202,호수,카라반,반려동물,4,269386.6891,443400.7571,,,
써니힐글램핑,강원도 횡성군 우천면 하궁리 843-1,"강원도 횡성군 우천면 경강로 3487-22, 써니힐글램핑",25245,산,캠핑,가족,4,299341.5258,445762.2256,,,
당평오토캠핑장,강원도 횡성군 갑천면 추동리 70-14번지,강원도 횡성군 갑천면 외갑천로 301 (당평초등학교),25252,강,글램핑,연인,4,291825.1537,452052.0571,,,
아름채,강원도 횡성군 청일면 신대리 122,강원도 횡성군 청일면 청일로 1030,25255,바다,이지캠핑,키즈,4,308878.9213,454880.4207,,,
